Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
4715,2020-06-22 17:17:54,2264937662466770,fraud_Johns-Hoeger,entertainment,2.59,Juan,Sherman,M,5939 Garcia Forges Suite 297,San Antonio,TX,78214,29.3641,-98.4924,1595797,Land,1995-10-17,855eb41d4b5fe0f76b22c044d17c66c4,1371921474,29.964737,-97.517695,0
262980,2020-09-26 16:25:52,213174467670432,fraud_Goyette-Herzog,travel,3.64,James,Bishop,M,7055 Fernandez Estates Apt. 676,Cecilton,MD,21913,39.4015,-75.8654,663,Podiatrist,1969-01-14,b492f488734fcf9b550edf1074d9163b,1380212752,39.944284,-75.398546,0
500565,2020-12-20 04:06:49,3538520143479972,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,148.81,Cassandra,Nunez,F,9572 Austin Forge Suite 612,Clay Center,OH,43408,41.5686,-83.3632,269,Insurance underwriter,1965-09-15,65f3426b710cab90d1c8a8a82cd8e7e2,1387512409,41.570074,-82.926334,0
167760,2020-08-18 17:49:08,4586810168620942,fraud_Hammes-Beatty,kids_pets,76.89,Michelle,Gregory,F,6983 Carrillo Isle,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",1997-07-05,a06ca0d3503a88767c5d5fae49130036,1376848148,31.91763,-80.380686,0
103878,2020-07-27 14:22:13,4464457352619,"fraud_Zboncak, Rowe and Murazik",shopping_net,106.84,Breanna,Rodriguez,F,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,1990-01-24,22c7f1b2ac7500048ca36d75817a6d36,1374934933,30.853252,-85.114604,0
469181,2020-12-13 06:29:25,675990301623,fraud_Goodwin-Nitzsche,grocery_pos,131.04,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,b12d11e10b3befff1281022e8fcd529d,1386916165,40.503954,-75.33896899999999,0
66005,2020-07-13 23:19:19,3531129874770000,fraud_Hamill-D'Amore,health_fitness,5.7,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,6d564dbd2255722512a3afcc60180ade,1373757559,43.455696,-73.620501,0
300452,2020-10-12 16:53:39,3589289942931264,fraud_Thiel-Thiel,entertainment,145.33,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374,43.7557,-97.5936,343,"Development worker, international aid",1972-03-05,7404be575e2a6c2d5a01e161f504c9c7,1381596819,43.944047,-97.393779,0
446892,2020-12-07 20:34:43,4450831335606294,fraud_Ernser-Feest,home,50.76,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,74536,34.5906,-95.38,1760,Occupational psychologist,1972-01-20,a45673924baebe33fb3c4a473752cf5c,1386448483,34.154367,-95.329104,0
167225,2020-08-18 15:00:38,3502088871723054,"fraud_O'Reilly, Mohr and Purdy",home,13.57,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,a55028413e4104bcbe0b5992fd9324dd,1376838038,39.162243,-76.344863,0
468520,2020-12-13 02:49:14,6011679934075347,fraud_Erdman-Kertzmann,gas_transport,49.48,Jennifer,Gonzalez,F,5517 Stacy Land,Jelm,WY,82063,41.0539,-106.0763,100,Public librarian,1974-04-16,fba54758b08a869cd9378983a85542c9,1386902954,41.343527,-105.121899,0
126241,2020-08-04 03:58:39,375534208663984,fraud_Gislason Group,misc_pos,25.68,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,1986-03-28,07a97920b6237d9f207247f973cd8df3,1375588719,38.768993,-78.588542,0
